,,,,,,,,,
Pre-hit context,Hit string,Post-hit context,File name,Transcript ID,Speaker ID,Speaker gender,Speaker role,Speaker native speaker status,
"  she's always picking on them. and then maybe, i'm thinking maybe i just look good",like,"standing behind 'em like,  i know what i'm doing or something  the girl, she we", Astronomy Peer Tutorial ,OFC150MU042,S5,F,SU,NS,
"earing from the class it's almost like erotica's like, an excuse to make pornography okay ",like,",   you know  like, well it's artsy so  it's not  "," Sex, Gender, and the Body Lecture ",LES565SU137,S6,F,SU,NS,
"ike here right? cuz a lotta politicians have made good, okay? alright, um, so, in_ up here we've got",like,", Oprah, Madonna, okay? Bill Gates. who else might be up here? yeah.   ", Intro Communication Lecture ,LEL220JU071,S2,F,SF,NS,
"k and forth. they should almost always go five-prime to three-prime. so, this molecule looks exactly",like,"that, and it was coded for that. now, in order for transcription to occur, you need to have R-N-A po", Microbial Genetics Lecture ,LES175SU079,S1,F,JF,NS,
r Z-bar.   use_ how about we do,like,", okay so you wanna do square root of two?   ", Math Study Group ,SGR385SU057,S1,M,SU,NS,
"ate schools there's not as much of a discrepancy with in-state and out-of-state tuition as there is,",like,", at among undergraduates so i was just wondering if more money from the state obviously then would ", Politics of Higher Education ,SEM495SU111,S3,F,SU,NS,
"se if you talk to them in advance. um and that's always, just a courtesy. but they have issues about",like,you cannot take um... right tw- twelve credits you can't say that you're majoring in economics and t, Academic Advising ,ADV700JU047,S2,F,ST,NS,
"n a different location but you don't know if the bird, just like flew there or what so  if",like,in terms of abundance.    , Biology of Birds Discussion Section ,DIS175SU027,S3,F,JU,NS,
"en people don't even make the connection themselves and, inevitably it seems like you hear something",like,", oh well actually yes um, uh the woman i had been dating uh dumped me, very precipitously, three we", Intro to Psychopathology Lecture ,LES500SU102,S1,F,JF,NS,
" yeah well i was just thinking that,",like,"for instance, self-evident it's that, it's self-evident, for me okay that i, am aware of something, ", Objectivism Student Group ,SGR999MX115,S1,M,SG,NS,
" going to mention what i think you should remember. divisions of time, that we can cut into sections",like,"there is a section right in here, known as the Cenozoic,  a", Dynamic Earth Lecture ,LES305MU108,S1,M,SF,NNS,
", uh to understand the kind of value attributed to, the gestural abstract expressionism of a painter",like,"Jackson Pollock? so we- we're seeing this contestation of the uniqueness of the work of art, really ", Twentieth Century Arts Lecture ,LEL320JU147,S1,F,JF,NS,
it?   you get the pictures from,like,"different, sources and you, paste 'em into a, web page.  like there are programs  ", Brazilian Studies Student Presentations ,STP545JU091,S4,M,JU,NS,
"at's one thing that, doesn't seem like there is, right now the, the employees are_ don't really feel",like,"they're that much_ like it doesn't matter what happens to the company like they just wanna, like the", Behavior Theory Management Lecture ,LEL185SU066,S2,M,SU,NS,
"it when when you do P-C-R, you're gonna get like replications of uh the chromosomes, so say you have",like,"an insertion in yours that i don't have yours are going to be longer than mine, and that would be de", Intro Biology Study Group ,SGR175MU126,S4,F,SU,NS,
"they the picture they have of him i think is, him being taken away at the school and then they have,",like,these pictures with other students  just kind of    , Ethics Issues in Journalism Lecture ,LES220SU140,S23,F,SU,NS,
"to, somehow you can lose altitude. this would correspond to, hitting severe wind shear or, something",like,that. and if that happens then you end up with low altitude which if you do nothing you're going to , Artificial Intelligence Dissertation Defense ,DEF270SF061,S1,F,SG,NS,
"ed towards just dealing with one problem like, i- an example would be to um decrease neuropeptide Y.",like,the drug would just be interested in doing that. and these types of drugs are only ten percent effic, Teaching Biochemistry Student Presentations ,STP175SU141,S18,F,SU,NRN,
"ble majors, i don't know, whether that's shifting, now or not. but, so the music school would really",like,", t- to not have to pay attention at all to state, in-state bit. i mean, and and we've been under pr", Politics of Higher Education ,SEM495SU111,S1,F,SF,NS,
"'s secondary, be a secondary can be, it's like either or, elimination or substitution right? it's so",like,if instead if it was in a very s- polar solvent then it'd probably be more likely to be elimination , Organic Chemistry Study Group ,SGR200JU125,S4,M,JU,NS,
"ample.  all he wanted us to say was R-N-A um, um can be alternatively spliced. but i mean",like,provide an e- i_ it's just sort of an awk- sort of  scary    , Intro Biology Study Group ,SGR175MU126,S3,F,JU,NS,
"ng that's probably having to do with like priming rather than, like a long-term anything. ",like,"whether  or not this affects like women, on the whole like, women see themselves as this ", Media Impact in Communication Lecture ,LEL220SU073,S8,F,SU,NS,
